Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
S K F India Ltd.,2016-06-30,534960.0,497150.0,75480.0,99760.0,128500.0,14.11,Bearings
S R F Ltd.,2016-06-30,6511.6,6238.7,604.0,932.2,1054.8,9.28,Diversified
Sanofi India Ltd.,2016-06-30,9848.2,8514.0,1295.6,1760.4,2562.7,13.16,Pharmaceuticals
Saregama India Ltd.,2016-06-30,6202.0,4982.0,861.0,1334.0,1610.0,13.88,Media
Schaeffler India Ltd.,2016-06-30,483.3,491.8,16.9,35.6,51.6,3.5,Bearings
Shipping Corpn. Of India Ltd.,2016-06-30,4480.2,4322.2,463.4,714.7,874.6,10.34,Shipping
Shree Cement Ltd.,2016-06-30,8262.6,8058.2,559.1,726.6,2492.1,6.77,Cement
Shriram Transport Finance Co. Ltd.,2016-06-30,21987.1,17718.8,5076.7,6470.5,8286.8,23.09,Finance
Siemens Ltd.,2016-06-30,26866.9,23131.8,3741.0,5696.5,18892.4,13.92,Infrastructure
Sonata Software Ltd.,2016-06-30,26204.0,25710.7,1281.5,1942.0,2582.3,4.89,Computers
Spicejet Ltd.,2016-06-30,1394.1,1164.3,324.0,411.0,448.8,23.24,Transport
State Bank Of India,2016-06-30,15215.3,13949.3,1490.3,1490.3,2147.9,9.79,Banks
Steel Authority Of India Ltd.,2016-06-30,417185.2,464076.4,25209.6,36407.6,309219.7,6.04,Steel
Sterlite Technologies Ltd.,2016-06-30,92380.8,105905.0,-5355.2,-9254.1,2688.5,-5.8,Cables
Strides Pharma Science Ltd.,2016-06-30,5204.6,4706.9,333.9,459.7,1014.8,6.42,Pharmaceuticals
Sudarshan Chemical Inds. Ltd.,2016-06-30,5049.8,5273.1,284.6,299.5,1022.3,5.38,Dyes
Sun Pharmaceutical Inds. Ltd.,2016-06-30,3298.8,3107.4,313.1,434.9,610.2,9.49,Pharmaceuticals
Sundaram-Clayton Ltd.,2016-06-30,18000.6,21467.3,-1514.6,-1480.1,583.6,-8.41,Auto
Sundram Fasteners Ltd.,2016-06-30,3464.9,3298.6,114.4,136.2,361.9,3.3,Fasteners
Sunteck Realty Ltd.,2016-06-30,7109.7,6486.6,755.5,1015.6,1423.6,10.63,Construction
Supreme Industries Ltd.,2016-06-30,685.9,169.3,717.6,782.9,823.9,104.62,Plastics
Swan Energy Ltd.,2016-06-30,11891.3,10945.3,1021.4,1558.5,2026.1,8.59,Trading
Symphony Ltd.,2016-06-30,695.8,658.5,-18.8,-18.8,45.0,-2.7,Consumer
T T K Prestige Ltd.,2016-06-30,1526.0,1242.3,315.6,437.8,445.1,20.68,Domestic
Tanla Platforms Ltd.,2016-06-30,3461.0,3493.3,242.0,356.9,426.9,6.99,Computers
Tata Chemicals Ltd.,2016-06-30,835.2,782.8,64.3,82.0,89.5,7.7,Chemicals
Tata Coffee Ltd.,2016-06-30,15343.8,15720.2,1946.1,2856.8,3782.7,13.23,Plantations
Tata Communications Ltd.,2016-06-30,2060.1,1677.3,269.9,358.8,430.8,13.1,Telecommunications
Tata Consumer Products Ltd.,2016-06-30,12205.2,11789.3,2043.3,2905.9,4906.1,16.74,Plantations
Tata Elxsi Ltd.,2016-06-30,8200.8,6932.0,732.6,1110.9,1288.3,8.93,Computers
Tata Investment Corpn. Ltd.,2016-06-30,2958.5,2572.8,416.8,631.6,721.9,14.09,Finance
Tata Motors Ltd.,2016-06-30,155.3,130.8,338.7,428.7,428.9,218.09,Auto
Tata Power Co. Ltd.,2016-06-30,102897.2,117246.8,257.5,378.7,11780.6,0.25,Power
Tata Steel Ltd.,2016-06-30,18738.2,18344.5,1469.1,2145.2,6338.1,7.84,Steel
Tech Mahindra Ltd.,2016-06-30,91204.8,97476.0,5754.3,9392.3,21713.9,6.31,Computers
Thermax Ltd.,2016-06-30,56467.6,50901.7,7374.8,9558.9,11126.2,13.06,Infrastructure
Timken India Ltd.,2016-06-30,7914.4,7482.4,452.2,673.3,848.1,5.71,Bearings
Titan Company Ltd.,2016-06-30,2821.5,2563.4,283.5,435.1,507.3,10.05,Miscellaneous
Torrent Pharmaceuticals Ltd.,2016-06-30,27486.7,25948.7,1292.9,1761.3,2084.6,4.7,Pharmaceuticals
Trent Ltd.,2016-06-30,13240.0,10560.0,3370.0,4070.0,5160.0,25.45,Retail
Trident Ltd.,2016-06-30,3995.2,3889.6,233.0,320.1,498.3,5.83,Textiles
U P L Ltd.,2016-06-30,11481.9,10790.0,784.5,1020.6,2481.8,6.83,Chemicals
Uflex Ltd.,2016-06-30,16650.0,17200.0,3020.0,3240.0,5270.0,18.14,Packaging
Uno Minda Ltd.,2016-06-30,8507.6,8183.5,465.3,559.8,1306.0,5.47,Auto
V I P Industries Ltd.,2016-06-30,4005.3,3805.4,224.2,284.5,440.6,5.6,Personal
V S T Industries Ltd.,2016-06-30,3669.2,2924.2,297.0,455.3,489.0,8.09,Cigarettes
Vaibhav Global Ltd.,2016-06-30,2492.0,2052.8,437.2,647.8,729.5,17.54,Retail
Vakrangee Ltd.,2016-06-30,1063.9,984.7,34.5,65.3,94.5,3.24,Computers
Vardhman Textiles Ltd.,2016-06-30,9116.4,7971.2,1206.2,1858.0,2204.8,13.23,Textiles
Vedanta Ltd.,2016-06-30,14001.0,12936.7,1500.7,2108.8,3156.0,10.72,Mining
Vinati Organics Ltd.,2016-06-30,81450.0,98250.0,-10320.0,-10780.0,5770.0,-12.67,Chemicals
Voltas Ltd.,2016-06-30,1632.3,1264.2,357.2,540.9,609.5,21.88,Diversified
Welspun India Ltd.,2016-06-30,16497.4,15917.7,1049.6,1457.7,1528.5,6.36,Textiles
Westlife Development Ltd.,2016-06-30,13526.6,12248.3,1820.5,2542.6,3750.7,13.46,Hotels
Whirlpool Of India Ltd.,2016-06-30,,1.3,-0.7,-0.7,-0.7,,Consumer
Wipro Ltd.,2016-06-30,12726.7,10723.8,1219.5,1849.6,2088.7,9.58,Computers
Wockhardt Ltd.,2016-06-30,115875.0,102792.0,20077.0,25951.0,29659.0,17.33,Pharmaceuticals
Zee Entertainment Enterprises Ltd.,2016-06-30,6133.5,6335.6,163.3,16.8,715.3,2.66,Media
Zensar Technologies Ltd.,2016-06-30,11785.4,10660.3,1703.6,3225.7,3472.1,14.46,Computers
Zydus Lifesciences Ltd.,2016-06-30,3228.0,2851.0,531.4,763.6,837.6,16.46,Pharmaceuticals
,2016-06-30,9235.0,8478.0,1304.0,1620.0,2266.0,14.12,null
3M India Ltd.,2016-09-30,5655.9,5027.1,482.1,742.6,863.7,8.52,Diversified
A B B India Ltd.,2016-09-30,20550.1,20544.6,705.7,1094.8,1696.1,3.43,Infrastructure
A C C Ltd.,2016-09-30,24763.8,24849.4,895.2,1334.2,3085.0,3.61,Cement
A P L Apollo Tubes Ltd.,2016-09-30,5378.4,5523.4,64.5,96.6,310.0,1.2,Steel
Aarti Drugs Ltd.,2016-09-30,2866.5,2760.5,201.0,300.0,476.2,7.01,Pharmaceuticals
Aarti Industries Ltd.,2016-09-30,7102.5,6888.6,760.0,945.0,1511.2,10.7,Chemicals
Abbott India Ltd.,2016-09-30,7211.1,7594.3,750.2,1162.5,1203.4,10.4,Pharmaceuticals
Adani Enterprises Ltd.,2016-09-30,17977.3,19972.8,806.9,1057.2,3506.5,4.49,Trading
Aegis Logistics Ltd.,2016-09-30,938.0,760.8,200.7,268.7,315.6,21.4,Transport
Ajanta Pharma Ltd.,2016-09-30,4777.4,3599.4,1209.5,1615.9,1753.0,25.32,Pharmaceuticals
Akzo Nobel India Ltd.,2016-09-30,6858.3,6910.6,415.9,670.7,809.0,6.06,Paints
Alkyl Amines Chemicals Ltd.,2016-09-30,1347.0,1109.4,104.8,148.2,197.7,7.78,Chemicals
Alok Industries Ltd.,2016-09-30,19320.4,24896.7,-4778.9,-9817.3,-1644.6,-24.73,Textiles
Amara Raja Batteries Ltd.,2016-09-30,13330.6,12392.4,1363.2,1945.1,2416.9,10.23,Auto
Ambuja Cements Ltd.,2016-09-30,20148.5,19813.8,2475.5,3026.3,4816.0,12.29,Cement
Apollo Hospitals Enterprise Ltd.,2016-09-30,16341.0,15449.2,919.9,1241.7,2313.5,5.63,Hospitals
Apollo Tyres Ltd.,2016-09-30,20755.2,20318.8,2040.7,2852.3,3697.3,9.83,Tyres
Asahi India Glass Ltd.,2016-09-30,6043.7,5752.2,416.5,686.2,1229.5,6.89,Glass
Ashok Leyland Ltd.,2016-09-30,46224.0,42104.3,2944.1,4146.4,5746.7,6.37,Auto
Asian Paints Ltd.,2016-09-30,31020.1,30036.5,4352.7,6385.5,7160.2,14.03,Paints
Astrazeneca Pharma India Ltd.,2016-09-30,1381.7,1257.6,8.0,9.9,50.5,0.58,Pharmaceuticals
Atul Ltd.,2016-09-30,6986.9,6215.3,823.2,1261.0,1535.1,11.78,Chemicals
Aurobindo Pharma Ltd.,2016-09-30,24101.6,20660.7,4192.4,5446.3,6278.1,17.39,Pharmaceuticals
Avanti Feeds Ltd.,2016-09-30,5555.2,5244.3,290.9,412.5,446.0,5.24,Aquaculture
Axis Bank Ltd.,2016-09-30,111591.1,133796.9,3190.8,4774.4,71226.8,2.86,Banks
B A S F India Ltd.,2016-09-30,12919.1,13201.3,-193.9,-193.9,516.6,-1.5,Chemicals
Bajaj Electricals Ltd.,2016-09-30,9965.7,10130.1,166.6,258.4,529.1,1.67,Domestic
Bajaj Finance Ltd.,2016-09-30,23355.0,19333.2,4077.6,6263.0,16002.1,17.46,Finance
Bajaj Holdings & Invst. Ltd.,2016-09-30,3104.6,1161.5,1984.4,2209.2,2222.3,63.92,Finance
Balkrishna Industries Ltd.,2016-09-30,9455.5,8218.4,2429.2,3338.5,4110.3,25.69,Tyres
Balrampur Chini Mills Ltd.,2016-09-30,8874.8,1521.2,1060.0,1374.8,1767.9,11.94,Sugar
Bank Of Baroda,2016-09-30,104851.7,114944.8,5521.2,8943.6,79534.3,5.27,Banks
Bank Of India,2016-09-30,94584.8,113422.7,1268.4,1966.2,69353.6,1.34,Banks
Bata India Ltd.,2016-09-30,5779.5,6233.9,345.9,503.5,675.8,5.98,Leather
Bayer Cropscience Ltd.,2016-09-30,11038.0,8857.0,1591.0,2433.0,2517.0,14.41,Chemicals
Berger Paints India Ltd.,2016-09-30,10211.0,10653.7,1613.2,2316.0,2584.2,15.8,Paints
Bharat Electronics Ltd.,2016-09-30,17031.1,15811.6,3462.5,4640.7,5098.1,20.33,Electric
Bharat Forge Ltd.,2016-09-30,8908.9,8052.4,1268.9,1870.3,2785.8,14.24,Castings
Bharat Heavy Electricals Ltd.,2016-09-30,66012.4,63996.9,1090.0,1381.5,3512.2,1.65,Infrastructure
Bharat Petroleum Corpn. Ltd.,2016-09-30,446927.2,450276.3,13051.8,18489.2,24037.1,2.92,Refineries
Birla Corporation Ltd.,2016-09-30,7775.1,7714.9,584.3,574.4,1251.8,7.52,Cement
Birlasoft Ltd.,2016-09-30,3413.4,2973.0,491.5,599.3,794.9,14.4,Computers
Blue Dart Express Ltd.,2016-09-30,6632.2,6274.1,428.0,630.3,818.0,6.45,Couriers
Blue Star Ltd.,2016-09-30,8254.9,7768.7,169.7,241.0,444.4,2.06,Consumer
Bombay Burmah Trdg. Corpn. Ltd.,2016-09-30,714.7,683.9,-99.8,-99.8,7.8,-13.96,Plantations
Borosil Renewables Ltd.,2016-09-30,674.6,715.0,108.4,138.5,156.2,16.07,Glass
Bosch Ltd.,2016-09-30,26332.5,24198.0,4229.1,9554.4,10453.4,26.73,Auto
Brightcom Group Ltd.,2016-09-30,1178.9,1181.2,-2.3,-3.5,41.0,-0.2,Computers
Britannia Industries Ltd.,2016-09-30,22223.9,20436.5,2275.7,3397.6,3631.6,10.24,Food
C C L Products (India) Ltd.,2016-09-30,1016.6,942.4,92.0,145.0,184.0,9.05,Plantations
C E S C Ltd.,2016-09-30,20160.0,18060.0,2420.0,3020.0,5470.0,12.0,Power
Can Fin Homes Ltd.,2016-09-30,3323.8,2773.2,550.6,872.8,3075.6,16.57,Finance
Caplin Point Laboratories Ltd.,2016-09-30,823.3,671.5,166.7,206.9,233.3,20.25,Pharmaceuticals
Capri Global Capital Ltd.,2016-09-30,526.3,409.9,172.3,272.7,356.3,32.74,Finance
Carborundum Universal Ltd.,2016-09-30,3552.9,3339.2,260.1,383.7,576.5,7.32,Abrasives
Castrol India Ltd.,2016-09-30,7617.0,6396.0,1398.0,2176.0,2284.0,18.35,Lubricants
Ceat Ltd.,2016-09-30,14128.9,13688.9,1018.2,1436.0,1906.3,7.21,Tyres
Century Plyboards (India) Ltd.,2016-09-30,4627.0,4075.3,492.9,583.7,770.2,10.65,Miscellaneous
Century Textiles & Inds. Ltd.,2016-09-30,18103.0,17846.9,508.2,353.2,2526.4,2.46,Diversified
Chambal Fertilisers & Chemicals Ltd.,2016-09-30,21644.0,20609.8,1167.5,1903.2,2633.2,5.87,Fertilisers
Cholamandalam Financial Holdings Ltd.,2016-09-30,146.4,11.2,135.2,135.2,135.2,92.35,Miscellaneous
Cholamandalam Investment & Finance Co. Ltd.,2016-09-30,11621.4,9917.0,1709.4,2609.0,8392.9,14.71,Finance
Cipla Ltd.,2016-09-30,28139.9,24648.0,3292.4,3488.3,4845.7,11.7,Pharmaceuticals
City Union Bank Ltd.,2016-09-30,7906.7,7711.2,1237.4,1697.4,6592.2,15.65,Banks
Colgate-Palmolive (India) Ltd.,2016-09-30,10565.8,8913.5,1813.1,2527.4,2860.4,17.16,Personal
Container Corpn. Of India Ltd.,2016-09-30,13603.3,12787.6,1578.4,2174.5,3036.2,11.6,Transport
Coromandel International Ltd.,2016-09-30,35147.3,28275.6,2127.1,3179.6,4015.6,6.05,Fertilisers
Crisil Ltd.,2016-09-30,2857.8,2426.6,576.5,863.7,956.8,20.17,Miscellaneous
Cummins India Ltd.,2016-09-30,12789.7,11582.2,1969.0,2430.2,2682.0,15.4,Engines
Cyient Ltd.,2016-09-30,3287.0,2835.0,634.0,760.0,898.0,19.29,Computers
D C M Shriram Ltd.,2016-09-30,13427.0,9937.4,1003.0,1046.2,1442.8,7.47,Diversified
D L F Ltd.,2016-09-30,7305.6,8208.1,1243.9,1575.3,4899.9,17.03,Construction
Dabur India Ltd.,2016-09-30,13515.8,12153.8,2687.2,3473.5,3709.7,19.88,Personal
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,2016-09-30,8906.1,8348.7,269.6,346.2,927.5,3.03,Fertilisers
Deepak Nitrite Ltd.,2016-09-30,3059.1,2974.3,148.0,208.9,375.2,4.84,Chemicals
Dhanuka Agritech Ltd.,2016-09-30,3124.2,2945.3,501.1,714.1,750.6,16.04,Chemicals
Dr. Reddy'S Laboratories Ltd.,2016-09-30,26275.0,23865.0,3132.0,4092.0,6108.0,11.92,Pharmaceuticals
E I D-Parry (India) Ltd.,2016-09-30,5504.3,4523.3,817.2,1023.0,1595.3,14.85,Sugar
E I H Ltd.,2016-09-30,2723.0,2984.3,37.9,-23.0,284.0,1.39,Hotels
E P L Ltd.,2016-09-30,2099.6,1937.3,169.4,249.3,461.0,8.07,Packaging
Eicher Motors Ltd.,2016-09-30,17624.9,14704.7,3961.6,5823.3,6188.5,22.48,Auto
Elgi Equipments Ltd.,2016-09-30,2125.1,1965.8,160.6,197.0,289.6,7.56,Compressors
Emami Ltd.,2016-09-30,5256.2,4762.7,884.8,1087.8,2028.9,16.83,Personal
Engineers India Ltd.,2016-09-30,3388.9,3012.4,937.5,1445.0,1498.1,27.66,Infrastructure
Esab India Ltd.,2016-09-30,1308.2,1178.5,109.3,157.9,183.5,8.35,Electrodes
Escorts Kubota Ltd.,2016-09-30,9651.9,9951.2,377.1,398.1,619.7,3.24,Auto
Exide Industries Ltd.,2016-09-30,19252.6,17975.3,1818.1,2610.7,3122.6,9.44,Auto
F D C Ltd.,2016-09-30,2807.1,2254.4,669.9,899.4,986.4,23.86,Pharmaceuticals
Federal Bank Ltd.,2016-09-30,20662.5,21370.8,2012.4,3065.3,16465.9,9.74,Banks
Finolex Cables Ltd.,2016-09-30,5624.3,5498.1,1048.0,1419.1,1550.1,18.63,Cables
Finolex Industries Ltd.,2016-09-30,4568.3,4248.1,513.2,788.0,959.4,11.23,Petrochemicals
G A I L (India) Ltd.,2016-09-30,118776.4,114531.1,9246.5,13754.7,18516.1,7.78,Oil Drilling And Exploration
G H C L Ltd.,2016-09-30,6588.5,5975.8,902.8,1219.9,1773.5,13.7,Chemicals
G M M Pfaudler Ltd.,2016-09-30,630.8,575.0,71.4,105.3,125.7,11.32,Engineering
Garware Technical Fibres Ltd.,2016-09-30,2257.7,2059.9,263.4,385.3,437.5,11.67,Textiles
Gillette India Ltd.,2016-09-30,4117.3,3727.3,548.4,807.0,893.2,13.32,Personal
Glaxosmithkline Pharmaceuticals Ltd.,2016-09-30,7991.2,6696.0,988.5,1524.0,1589.8,12.37,Pharmaceuticals
Glenmark Pharmaceuticals Ltd.,2016-09-30,21714.4,16334.7,5558.3,7073.3,7754.4,25.6,Pharmaceuticals
Godfrey Phillips India Ltd.,2016-09-30,5180.0,4825.6,197.0,297.9,529.5,3.8,Cigarettes
Godrej Industries Ltd.,2016-09-30,3501.6,4254.2,-349.7,-349.7,279.0,-9.99,Personal
Granules India Ltd.,2016-09-30,3360.6,2978.7,335.0,479.3,745.7,9.97,Pharmaceuticals
Graphite India Ltd.,2016-09-30,3196.3,3261.5,159.4,245.9,360.6,4.99,Electrodes
Grasim Industries Ltd.,2016-09-30,25171.1,22657.0,5922.7,7612.4,8887.6,23.53,Diversified
Great Eastern Shipping Co. Ltd.,2016-09-30,4267.3,4084.0,1705.3,1760.3,3266.3,39.96,Shipping
Greaves Cotton Ltd.,2016-09-30,4388.4,4113.3,510.4,709.9,826.7,11.68,Engines
Grindwell Norton Ltd.,2016-09-30,3047.4,2872.6,284.8,417.3,515.6,9.35,Abrasives
Gujarat Alkalies & Chemicals Ltd.,2016-09-30,5284.3,4610.2,874.2,1143.4,1444.7,16.54,Chemicals
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,2016-09-30,13702.6,11621.5,1654.8,2276.5,3509.8,12.08,Fertilisers
Gujarat State Fertilizers & Chemicals Ltd.,2016-09-30,15950.9,13284.9,1250.1,1738.8,2153.8,7.84,Fertilisers
H C L Technologies Ltd.,2016-09-30,47060.0,32440.0,16910.0,20960.0,22000.0,35.93,Computers
H D F C Bank Ltd.,2016-09-30,170699.4,165155.6,34553.3,52755.6,143519.1,20.24,Banks
H E G Ltd.,2016-09-30,1940.1,2000.3,-140.9,-121.1,216.3,-7.26,Electrodes
H F C L Ltd.,2016-09-30,4134.7,4349.8,248.9,248.9,438.3,6.02,Telecommunications
H L E Glascoat Ltd.,2016-09-30,197.5,171.9,10.1,15.2,27.2,5.11,Glass
Hatsun Agro Products Ltd.,2016-09-30,10003.3,10014.5,325.6,464.5,918.7,3.25,Food
Havells India Ltd.,2016-09-30,14522.4,14037.0,1457.9,2030.1,2356.9,10.04,Electric
Heidelberg Cement India Ltd.,2016-09-30,3969.4,3909.7,165.0,250.4,734.6,4.16,Cement
Hero Motocorp Ltd.,2016-09-30,77962.8,68802.3,10042.2,14004.3,15212.3,12.88,Auto
Hikal Ltd.,2016-09-30,2323.1,2105.4,163.2,195.7,480.7,7.03,Pharmaceuticals
Hindalco Industries Ltd.,2016-09-30,90122.8,91684.9,4389.4,6325.9,15784.6,4.88,Steel
Hindustan Copper Ltd.,2016-09-30,1626.6,3040.8,68.2,91.2,415.2,4.16,Metals
Hindustan Petroleum Corpn. Ltd.,2016-09-30,421121.8,418755.7,7013.2,10754.5,18188.7,1.67,Refineries
Hindustan Unilever Ltd.,2016-09-30,78420.0,68990.0,10960.0,15760.0,16760.0,13.98,Personal
Hindustan Zinc Ltd.,2016-09-30,35000.0,24340.0,19020.0,23440.0,28470.0,54.34,Metals
Honeywell Automation India Ltd.,2016-09-30,5798.1,5346.9,453.8,706.9,748.5,7.83,Telecommunications
Housing & Urban Devp. Corpn. Ltd.,2016-09-30,8257.7,6727.3,2055.3,3118.2,8128.3,24.89,Construction
Housing Development Finance Corpn. Ltd.,2016-09-30,80632.1,62766.5,18265.0,25575.0,78173.7,22.65,Finance
I C I C I Bank Ltd.,2016-09-30,136394.0,196568.1,31022.7,35533.8,119394.9,22.74,Banks
I D B I Bank Ltd.,2016-09-30,69856.2,83316.8,555.2,1905.5,55775.6,0.79,Bank - Private
I F B Industries Ltd.,2016-09-30,4393.5,4229.7,191.8,262.9,385.6,4.37,Consumer
I T C Ltd.,2016-09-30,96607.1,74658.9,25000.3,38262.2,41053.8,25.88,Diversified
I T I Ltd.,2016-09-30,3535.8,3655.5,1862.6,1862.6,2270.7,52.68,Telecommunications
India Cements Ltd.,2016-09-30,13075.2,12369.9,624.1,916.6,2313.4,4.77,Cement
Indian Hotels Co. Ltd.,2016-09-30,5164.4,5615.6,276.6,428.4,1328.1,5.36,Hotels
Indian Oil Corpn. Ltd.,2016-09-30,803566.1,803253.8,31218.9,45068.7,66263.5,3.89,Refineries
Indian Overseas Bank,2016-09-30,49919.9,67267.5,-7651.3,-6335.2,30726.6,-15.33,Banks
Indusind Bank Ltd.,2016-09-30,,,,,,,Banks
Infosys Ltd.,2016-09-30,34857.3,37518.9,7042.6,10677.7,30931.9,20.2,Computers
Ipca Laboratories Ltd.,2016-09-30,150000.0,122870.0,34760.0,48120.0,51500.0,23.17,Pharmaceuticals
Ircon International Ltd.,2016-09-30,8713.8,8044.7,549.5,923.5,1413.8,6.31,Engineering
J B Chemicals & Pharmaceuticals Ltd.,2016-09-30,,,,,,,Pharmaceuticals
J K Lakshmi Cement Ltd.,2016-09-30,3014.9,2778.5,452.0,615.9,748.0,14.99,Cement
J K Paper Ltd.,2016-09-30,6555.7,6459.1,249.1,233.3,1116.1,3.8,Paper
J M Financial Ltd.,2016-09-30,6852.4,6262.1,439.6,621.3,1418.7,6.42,Finance
J S W Steel Ltd.,2016-09-30,104.1,148.5,518.1,514.5,602.2,497.69,Steel
Jamna Auto Inds. Ltd.,2016-09-30,122370.0,116140.0,6710.0,10660.0,27450.0,5.48,Auto
Jindal Steel & Power Ltd.,2016-09-30,2455.9,2655.0,212.4,241.1,392.1,8.65,Steel
Johnson Controls-Hitachi Air Conditioning India Ltd.,2016-09-30,33209.6,36639.3,-4071.9,-6467.9,5310.0,-12.26,Consumer
Jubilant Pharmova Ltd.,2016-09-30,2851.0,2734.8,-56.6,-42.1,85.7,-1.99,Pharmaceuticals
K I O C L Ltd.,2016-09-30,5756.7,5624.9,241.2,350.3,1002.5,4.19,Steel
K R B L Ltd.,2016-09-30,577.4,1291.8,-51.7,-51.7,13.4,-8.95,Food
K S B Ltd.,2016-09-30,7144.4,5786.5,986.5,1251.3,1546.8,13.81,Pumps
Kajaria Ceramics Ltd.,2016-09-30,1609.9,1910.3,86.7,134.2,213.4,5.39,Ceramics
Kalpataru Power Transmission Ltd.,2016-09-30,6274.9,5681.6,738.2,1111.9,1254.9,11.76,Power
Kansai Nerolac Paints Ltd.,2016-09-30,11154.2,10890.1,578.1,882.6,1373.1,5.18,Paints
Kei Industries Ltd.,2016-09-30,10020.9,9113.9,1393.1,2104.8,2276.5,13.9,Power
Kotak Mahindra Bank Ltd.,2016-09-30,6242.7,6512.3,214.2,290.9,685.1,3.43,Banks
L I C Housing Finance Ltd.,2016-09-30,44124.7,44302.9,8132.9,12423.2,36594.3,18.43,Finance
La Opala R G Ltd.,2016-09-30,34564.5,29951.5,4947.6,7606.4,33255.4,14.31,Glass
Lakshmi Machine Works Ltd.,2016-09-30,629.8,435.1,191.9,274.6,305.7,30.47,Textiles
Larsen & Toubro Ltd.,2016-09-30,5806.9,5524.8,379.2,558.0,726.6,6.53,Infrastructure
Lupin Ltd.,2016-09-30,145699.3,143890.4,27187.4,30048.9,36381.5,18.66,Pharmaceuticals
M M T C Ltd.,2016-09-30,29512.8,23285.5,6530.8,8355.4,9253.3,22.13,Trading
M R F Ltd.,2016-09-30,14280.3,16590.3,104.5,104.5,131.3,0.73,Tyres
Maharashtra Scooters Ltd.,2016-09-30,32494.9,31151.3,3852.9,5657.1,7789.6,11.86,Auto
Mahindra & Mahindra Ltd.,2016-09-30,14.5,43.6,90.1,90.4,91.8,621.38,Auto
Mahindra Lifespace Developers Ltd.,2016-09-30,106856.2,106597.6,10670.3,14375.4,18960.3,9.99,Construction
Mangalore Refinery & Petrochemicals Ltd.,2016-09-30,950.3,1021.5,127.4,165.1,256.6,13.41,Refineries
Marico Ltd.,2016-09-30,99689.5,95398.1,4163.2,5989.0,8767.6,4.18,Personal
Mastek Ltd.,2016-09-30,11572.1,10739.8,1791.3,2391.5,2555.9,15.48,Computers
Max Financial Services Ltd.,2016-09-30,498.0,467.4,50.9,80.8,124.5,10.22,Finance
Mphasis Ltd.,2016-09-30,129.6,268.7,-131.2,-131.2,-126.3,-101.23,Computers
N C C Ltd.,2016-09-30,7637.1,6630.6,1536.5,2030.8,2102.8,20.12,Construction
N H P C Ltd.,2016-09-30,19478.6,18395.0,511.8,740.7,2009.2,2.63,Power
N L C India Ltd.,2016-09-30,24033.6,18356.7,15546.6,19249.4,25465.1,64.69,Power
N M D C Ltd.,2016-09-30,20537.6,19523.9,3004.2,4401.2,6565.0,14.63,Mining
N T P C Ltd.,2016-09-30,17391.5,11343.8,7708.5,10434.3,10993.3,44.32,Power
Natco Pharma Ltd.,2016-09-30,192649.7,170925.2,24969.8,32602.5,55842.3,12.96,Pharmaceuticals
National Aluminium Co. Ltd.,2016-09-30,4486.0,3831.0,695.0,930.0,1111.0,15.49,Aluminium
Nesco Ltd.,2016-09-30,18460.7,18255.8,1212.3,1733.3,3091.7,6.57,Diversified
Nestle India Ltd.,2016-09-30,768.9,433.7,476.0,718.3,756.8,61.91,Food
Nocil Ltd.,2016-09-30,23425.3,20487.7,2784.1,4104.8,5207.1,11.89,Petrochemicals
Oil & Natural Gas Corpn. Ltd.,2016-09-30,1813.2,1661.1,272.9,398.8,440.4,15.05,Oil Drilling And Exploration
P C B L Ltd.,2016-09-30,183950.1,147137.9,49749.2,70748.1,102837.0,27.04,Carbon
P I Industries Ltd.,2016-09-30,4607.0,4548.9,124.9,318.8,715.1,2.71,Chemicals
Patanjali Foods Ltd.,2016-09-30,5440.7,5188.2,1013.8,1218.5,1413.0,18.63,Vegetable
Pfizer Ltd.,2016-09-30,51279.6,48755.7,267.5,34.9,1806.1,0.52,Pharmaceuticals
Phoenix Mills Ltd.,2016-09-30,5356.0,5204.8,1263.3,2027.0,2189.7,23.59,Construction
Pidilite Industries Ltd.,2016-09-30,928.6,710.0,462.2,585.0,884.0,49.77,Chemicals
Poly Medicure Ltd.,2016-09-30,12200.1,10252.6,2261.6,3147.2,3398.9,18.54,Hospitals
Polyplex Corporation Ltd.,2016-09-30,1048.2,968.0,120.7,178.8,254.1,11.51,Packaging
Power Finance Corpn. Ltd.,2016-09-30,2334.6,2324.9,34.9,45.6,210.2,1.49,Finance
Power Grid Corpn. Of India Ltd.,2016-09-30,69283.9,51264.5,18734.2,26638.1,66507.4,27.04,Power
Praj Industries Ltd.,2016-09-30,62548.8,46082.0,18720.0,23608.2,58252.8,29.93,Engineering
Prism Johnson Ltd.,2016-09-30,1536.4,1524.8,96.3,126.2,176.0,6.27,Cement
Privi Speciality Chemicals Ltd.,2016-09-30,11672.9,12064.4,-212.7,-212.7,578.5,-1.82,Chemicals
Procter & Gamble Health Ltd.,2016-09-30,422.4,426.9,9.3,14.5,38.9,2.2,Pharmaceuticals
Procter & Gamble Hygiene & Health Care Ltd.,2016-09-30,2780.1,2478.0,285.0,444.6,506.6,10.25,Personal
Punjab & Sind Bank,2016-09-30,6004.2,5089.2,1044.4,1605.3,1736.7,17.39,Banks
