Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
J B Chemicals & Pharmaceuticals Ltd.,2015-06-30,,,,,,,Pharmaceuticals
J K Lakshmi Cement Ltd.,2015-06-30,2842.1,2536.7,396.4,532.5,661.9,13.95,Cement
J K Paper Ltd.,2015-06-30,5907.5,6261.4,-234.8,-349.1,495.9,-3.97,Paper
J M Financial Ltd.,2015-06-30,5853.5,5764.3,148.9,214.0,1026.9,2.54,Finance
J S W Steel Ltd.,2015-06-30,926.0,131.5,797.1,797.1,864.4,86.08,Steel
Jamna Auto Inds. Ltd.,2015-06-30,101281.5,99932.4,1131.0,1369.0,16240.8,1.12,Auto
Jindal Steel & Power Ltd.,2015-06-30,2542.2,2524.4,139.3,168.9,276.4,5.48,Steel
Johnson Controls-Hitachi Air Conditioning India Ltd.,2015-06-30,31261.6,38420.4,-3713.7,-3713.7,9542.4,-11.88,Consumer
Jubilant Pharmova Ltd.,2015-06-30,7087.7,6015.5,465.2,696.3,838.0,6.56,Pharmaceuticals
K I O C L Ltd.,2015-06-30,6691.3,7188.8,28.4,61.2,843.9,0.42,Steel
K R B L Ltd.,2015-06-30,62.8,599.4,-144.9,-144.9,-60.3,-230.73,Food
K S B Ltd.,2015-06-30,9793.6,10334.8,1124.8,1434.8,1728.0,11.49,Pumps
Kajaria Ceramics Ltd.,2015-06-30,2001.1,1865.2,222.2,303.2,378.9,11.1,Ceramics
Kalpataru Power Transmission Ltd.,2015-06-30,5639.1,5231.3,467.0,675.3,809.1,8.28,Power
Kansai Nerolac Paints Ltd.,2015-06-30,11634.8,10909.9,430.1,656.5,1291.2,3.7,Paints
Kei Industries Ltd.,2015-06-30,9753.1,8577.9,951.9,1399.6,1566.9,9.76,Power
Kotak Mahindra Bank Ltd.,2015-06-30,5184.0,5528.4,117.0,168.2,560.0,2.26,Banks
L I C Housing Finance Ltd.,2015-06-30,39914.3,43940.8,1897.8,2916.6,26849.0,4.75,Finance
La Opala R G Ltd.,2015-06-30,29458.9,25833.3,3821.3,5790.2,28398.9,12.97,Glass
Lakshmi Machine Works Ltd.,2015-06-30,519.8,460.0,92.1,126.6,155.6,17.72,Textiles
Larsen & Toubro Ltd.,2015-06-30,6229.5,6437.7,432.1,654.0,885.7,6.94,Infrastructure
Lupin Ltd.,2015-06-30,114436.8,124272.3,5632.2,7895.2,13737.4,4.92,Pharmaceuticals
M M T C Ltd.,2015-06-30,25938.7,20506.5,6922.9,9271.3,10029.9,26.69,Trading
M R F Ltd.,2015-06-30,20354.9,19974.1,-305.5,-305.5,-185.7,-1.5,Tyres
Maharashtra Scooters Ltd.,2015-06-30,34771.7,29214.2,4795.4,6988.0,8680.7,13.79,Auto
Mahindra & Mahindra Ltd.,2015-06-30,23.1,37.3,19.6,19.6,21.4,84.85,Auto
Mahindra Lifespace Developers Ltd.,2015-06-30,98289.5,93339.7,8500.9,11465.5,14089.2,8.65,Construction
Mangalore Refinery & Petrochemicals Ltd.,2015-06-30,1045.6,1176.8,114.0,174.7,305.3,10.9,Refineries
Marico Ltd.,2015-06-30,113147.9,123389.9,4055.2,5086.9,10894.4,3.58,Personal
Mastek Ltd.,2015-06-30,14440.9,11417.3,1821.2,2549.9,2708.9,12.61,Computers
Max Financial Services Ltd.,2015-06-30,1040.0,1016.1,108.0,160.6,216.3,10.38,Finance
Mphasis Ltd.,2015-06-30,455.1,210.4,245.9,250.1,258.0,54.03,Computers
N C C Ltd.,2015-06-30,7378.9,6773.9,1091.2,1561.4,1662.2,14.79,Construction
N H P C Ltd.,2015-06-30,17225.2,19234.4,414.3,573.5,2110.6,2.41,Power
N L C India Ltd.,2015-06-30,20016.7,15545.5,7981.7,10004.5,16090.3,39.88,Power
N M D C Ltd.,2015-06-30,18437.4,16023.9,3669.0,5534.8,7591.3,19.9,Mining
N T P C Ltd.,2015-06-30,18064.3,11765.5,10153.9,15588.1,16005.3,56.21,Power
Natco Pharma Ltd.,2015-06-30,171360.0,155502.2,22765.0,22842.8,42220.7,13.28,Pharmaceuticals
National Aluminium Co. Ltd.,2015-06-30,1940.5,1732.2,339.1,442.5,632.2,17.47,Aluminium
Nesco Ltd.,2015-06-30,14912.7,15422.1,1743.2,2661.4,3673.3,11.69,Diversified
Nestle India Ltd.,2015-06-30,478.0,294.1,221.1,327.8,358.5,46.26,Food
Nocil Ltd.,2015-06-30,19570.1,19976.7,-644.0,-644.0,76.6,-3.29,Petrochemicals
Oil & Natural Gas Corpn. Ltd.,2015-06-30,1860.1,1513.4,167.4,260.1,325.0,9.0,Oil Drilling And Exploration
P C B L Ltd.,2015-06-30,226281.7,182332.1,53683.6,82106.9,114974.9,23.72,Carbon
P I Industries Ltd.,2015-06-30,4807.0,4465.4,29.9,62.1,484.9,0.62,Chemicals
Patanjali Foods Ltd.,2015-06-30,5548.1,4678.8,858.7,1287.8,1429.4,15.48,Vegetable
Pfizer Ltd.,2015-06-30,60826.6,59718.1,886.0,1886.0,5133.3,1.46,Pharmaceuticals
Phoenix Mills Ltd.,2015-06-30,4831.7,3714.0,751.7,1156.5,1303.2,15.56,Construction
